SeasonID,TeamID,Color,Color1,Color2,Color3,Color4
2021,9,#DE8E18,#9a8c76,#6F470C,#2C1C04,#D5D2CD
2021,10,#0AA395,#597573,#05514A,#01201D,#CCD2D2
2021,14,#1A4C82,#576069,#0D2641,#050F19,#CDCFD1
2021,1,#752020,#645555,#3A1010,#170606,#D1CDCD
2021,5,#BA3B30,#8f7876,#5D1D18,#250B09,#D3CECE
2021,4,#459A72,#76867e,#224D39,#0D1E16,#CFD2D0
2021,2,#5E8FAA,#899298,#2F4755,#121C21,#D0D2D3
2021,3,#3494CC,#7f909a,#1A4A66,#0A1D28,#CED2D4
2021,7,#505050,#626262,#540000,#494A5E,#2B632B
2021,18,#003696,#50596a,#001B4B,#000A1D,#CCCED2
2022,9,#DE8E18,#9a8c76,#6F470C,#2C1C04,#D5D2CD
2022,10,#0AA395,#597573,#05514A,#01201D,#CCD2D2
2022,14,#1A4C82,#576069,#0D2641,#050F19,#CDCFD1
2022,1,#752020,#645555,#3A1010,#170606,#D1CDCD
2022,5,#BA3B30,#8f7876,#5D1D18,#250B09,#D3CECE
2022,4,#459A72,#76867e,#224D39,#0D1E16,#CFD2D0
2022,2,#5E8FAA,#899298,#2F4755,#121C21,#D0D2D3
2022,3,#3494CC,#7f909a,#1A4A66,#0A1D28,#CED2D4
2022,7,#505050,#626262,#540000,#494A5E,#2B632B
2022,18,#3C95C9,#82929c,#1E4A64,#0B1D28,#CED2D4
2023,9,#DE8E18,#9a8c76,#6F470C,#2C1C04,#D5D2CD
2023,10,#0AA395,#597573,#05514A,#01201D,#CCD2D2
2023,14,#1A4C82,#576069,#0D2641,#050F19,#CDCFD1
2023,1,#752020,#645555,#3A1010,#170606,#D1CDCD
2023,5,#BA3B30,#8f7876,#5D1D18,#250B09,#D3CECE
2023,4,#459A72,#76867e,#224D39,#0D1E16,#CFD2D0
2023,2,#5E8FAA,#899298,#2F4755,#121C21,#D0D2D3
2023,3,#3494CC,#7f909a,#1A4A66,#0A1D28,#CED2D4
2023,7,#505050,#626262,#540000,#494A5E,#2B632B
2023,18,#3C95C9,#82929c,#1E4A64,#0B1D28,#CED2D4
2024,9,#DE8E18,#9a8c76,#6F470C,#2C1C04,#D5D2CD
2024,10,#0AA395,#597573,#05514A,#01201D,#CCD2D2
2024,14,#1A4C82,#576069,#0D2641,#050F19,#CDCFD1
2024,5,#BA3B30,#8f7876,#5D1D18,#250B09,#D3CECE
2024,4,#459A72,#76867e,#224D39,#0D1E16,#CFD2D0
2024,3,#3494CC,#7f909a,#1A4A66,#0A1D28,#CED2D4
2024,7,#505050,#626262,#540000,#494A5E,#2B632B
2024,18,#3C95C9,#82929c,#1E4A64,#0B1D28,#CED2D4
2024,11,#476CBF,#858b9a,#23365F,#0E1526,#CFD0D4
2024,8,#64D064,#9aae9a,#326832,#132913,#D0D4D0
2025,9,#EE853F,#AF9889,#197F51,#505050,#2C4C93
2025,10,#08ABA3,#848C8C,#505050,#DD503E,#2C4C93
2025,14,#405585,#94A1BA,#D0301B,#202020,#64D064
2025,5,#E01A00,#B58D89,#449A66,#202020,#2C4C93
2025,4,#23675D,#8F9896,#E89338,#2C4C93,#DD503E
2025,3,#0E8EDD,#91AABA,#D577A9,#DD503E,#64D064
2025,7,#505050,#909090,#BB251A,#202020,#64D064
2025,18,#0B4BCD,#74819B,#E01A00,#DD503E,#64D064
2025,8,#64D064,#9FAC9F,#DD503E,#505050,#2C4C93
2025,12,#5F86E1,#9ea5b5,#DD503E,#707070,#64D064
